AC,1,Dodgers (DOD),MOH 6,PEL 6,HEN 6,GYP 6,BLZ 6,MAV 6,CAP 6,HIG 6,BOO 9,PAN 9,RIV 9,TWI 6
AC,1,Boomers (BOO),DOD 9,MOH 6,PEL 6,HEN 6,GYP 6,BLZ 6,MAV 6,CAP 6,PAN 9,RIV 9,TWI 6,HIG 6
AC,1,Panthers (PAN),BOO 9,DOD 9,MOH 6,PEL 6,HEN 6,GYP 6,BLZ 6,MAV 6,RIV 9,TWI 6,HIG 6,CAP 6
AC,1,River Dogs (RIV),PAN 9,BOO 9,DOD 9,MOH 6,PEL 6,HEN 6,GYP 6,BLZ 6,TWI 6,HIG 6,CAP 6,MAV 6
AC,2,Twins (TWI),RIV 6,PAN 6,BOO 6,DOD 6,MOH 6,PEL 6,HEN 6,GYP 6,HIG 9,CAP 9,MAV 9,BLZ 6
AC,2,Highlanders (HIG),TWI 9,RIV 6,PAN 6,BOO 6,DOD 6,MOH 6,PEL 6,HEN 6,CAP 9,MAV 9,BLZ 6,GYP 6
AC,2,Captains (CAP),HIG 9,TWI 9,RIV 6,PAN 6,BOO 6,DOD 6,MOH 6,PEL 6,MAV 9,BLZ 6,GYP 6,HEN 6
AC,2,Mavericks (MAV),CAP 9,HIG 9,TWI 9,RIV 6,PAN 6,BOO 6,DOD 6,MOH 6,BLZ 6,GYP 6,HEN 6,PEL 6
AC,3,Blaze (BLZ) ,MAV 6,CAP 6,HIG 6,TWI 6,RIV 6,PAN 6,BOO 6,DOD 6,GYP 8,HEN 8,PEL 8,MOH 9
AC,3,Gypsies (GYP),BLZ 9,MAV 6,CAP 6,HIG 6,TWI 6,RIV 6,PAN 6,BOO 6,HEN 8,PEL 8,MOH 8,DOD 6
AC,3,Mudhens (HEN),GYP 9,BLZ 8,MAV 6,CAP 6,HIG 6,TWI 6,RIV 6,PAN 6,PEL 8,MOH 8,DOD 6,BOO 6
AC,3,Pelicans (PEL),HEN 9,GYP 8,BLZ 8,MAV 6,CAP 6,HIG 6,TWI 6,RIV 6,MOH 8,DOD 6,BOO 6,PAN 6
AC,3,Mohawks (MOH),PEL 9,HEN 8,GYP 8,BLZ 8,MAV 6,CAP 6,HIG 6,TWI 6,DOD 6,BOO 6,PAN 6,RIV 6
NC,4,Reds (RED),EXP 6,YAN 6,COL 6,PIL 6,OGS 6,SOX 6,MID 6,MON 6,BRO 9,KNI 9,CAR 9,ATH 6
NC,4,Browns (BRO),RED 9,EXP 6,YAN 6,COL 6,PIL 6,OGS 6,SOX 6,MID 6,KNI 9,CAR 9,ATH 6,MON 6
NC,4,Knights (KNI),BRO 9,RED 9,EXP 6,YAN 6,COL 6,PIL 6,OGS 6,SOX 6,CAR 9,ATH 6,MON 6,MID 6
NC,4,Carolina Mudcats (CAR),KNI 9,BRO 9,RED 9,EXP 6,YAN 6,COL 6,PIL 6,OGS 6,ATH 6,MON 6,MID 6,SOX 6
NC,5,Athletics (ATH),CAR 6,KNI 6,BRO 6,RED 6,EXP 6,YAN 6,COL 6,PIL 6,MON 9,MID 9,SOX 9,OGS 6
NC,5,Monarchs (MON),ATH 9,CAR 6,KNI 6,BRO 6,RED 6,EXP 6,YAN 6,COL 6,MID 9,SOX 9,OGS 6,PIL 6
NC,5,Rockhounds (MID),MON 9,ATH 9,CAR 6,KNI 6,BRO 6,RED 6,EXP 6,YAN 6,SOX 9,OGS 6,PIL 6,COL 6
NC,5,Red Sox (SOX),MID 9,MON 9,ATH 9,CAR 6,KNI 6,BRO 6,RED 6,EXP 6,OGS 6,PIL 6,COL 6,YAN 6
NC,6,Slayers (OGS),SOX 6,MID 6,MON 6,ATH 6,CAR 6,KNI 6,BRO 6,RED 6,PIL 8,COL 8,YAN 8,EXP 9
NC,6,Pilgrims (PIL),OGS 9,SOX 6,MID 6,MON 6,ATH 6,CAR 6,KNI 6,BRO 6,COL 8,YAN 8,EXP 8,RED 6
NC,6,Colt .45s (COL),PIL 9,OGS 8,SOX 6,MID 6,MON 6,ATH 6,CAR 6,KNI 6,YAN 8,EXP 8,RED 6,BRO 6
NC,6,Yankees (YAN),COL 9,PIL 8,OGS 8,SOX 6,MID 6,MON 6,ATH 6,CAR 6,EXP 8,RED 6,BRO 6,KNI 6
NC,6,Express (EXP),YAN 9,COL 8,PIL 8,OGS 8,SOX 6,MID 6,MON 6,ATH 6,RED 6,BRO 6,KNI 6,CAR 6
