1,2015-01-01,Second Trading Period Begins
2,2015-01-07,Unowned Draft Lists Deadline
3,2015-01-10,Unowned Draft
4,2015-01-17,Makeup Date for Unowned Draft
5,2015-02-01,Second Trading Period Ends
6,2015-02-07,Waiver Cutdown by Midnight
7,2015-02-25,Waiver Draft Lists in by Midnight
8,2015-02-28,Third Trading Period Begins
9,2015-02-28,Waiver Draft
10,2015-03-07,Third Trading Period Ends at Midnight
11,2015-03-08,Final Rosters Set
12,2015-03-25,Contingency CMs due by midnight
13,2015-04-01,Opening Day--Play Ball!! Series 1 Starts
14,2015-04-09,Minor League Draft Lists Due by midnite
15,2015-04-11,Minor League Draft
16,2015-04-15,Series 1 Stats to Mark
17,2015-04-16,Series 2 Starts
18,2015-04-30,Series 2 Stats to Mark
19,2015-05-01,Series 3 Starts
20,2015-05-15,Series 3 Stats to Mark
21,2015-05-16,Series 4 Starts
22,2015-05-31,Series 4 Stats to Mark
23,2015-06-01,Series 5 Starts
24,2015-06-15,Series 5 Stats to Mark
25,2015-06-16,Series 6 Starts
26,2015-06-30,Series 6 Stats to Mark
27,2015-07-01,Series 7 Starts
28,2015-07-15,Series 7 Stats to Mark
29,2015-07-16,Series 8 Starts
30,2015-07-31,Series 8 Stats to Mark
31,2015-08-01,Series 9 Starts
32,2015-08-15,Series 9 Stats to Mark
33,2015-08-16,Series 10 Starts
34,2015-08-31,Series 10 Stats to Mark
35,2015-09-01,Series 11 Starts
36,2015-09-15,Series 11 Stats to Mark
37,2015-09-16,Series 12 Starts
38,2015-09-30,Series 12 Stats to Mark
